Name,Value.availability,Value.cost,Value.dealership,Value.function,Value.location,Value.other,Value.participantid,Value.range,Value.reviewid,Value.sentiment,Value.servicetimes,Value.time,Value.userinteraction
100152n4,,,,,true,,4,,100152,Negative,, 10/12/2019 @ 21:31:18,
100257n4,,,true,,true,,4,true,100257,Negative,, 10/12/2019 @ 21:32:13,
100575n4,,,,,,"trueJust a statement, neutral",4,,100575,Positive,, 4/12/2019 @ 16:29:25,
100603n4,,,,true,,,4,true,100603,Negative,, 10/12/2019 @ 21:18:51,
100811n4,,,,true,true,,4,,100811,Negative,, 10/12/2019 @ 20:51:1,
100910n4,,,,,true,,4,,100910,Positive,, 5/12/2019 @ 12:41:52,
100914n4,,,,true,,,4,,100914,Negative,, 10/12/2019 @ 21:16:45,
100942n4,,true,,,true,,4,,100942,Positive,, 5/12/2019 @ 12:51:50,
100948n4,true,,,,,,4,,100948,Negative,, 5/12/2019 @ 12:38:46,true
101151n4,true,,,,,,4,,101151,Negative,, 10/12/2019 @ 21:11:50,
101168n4,,,,true,,,4,,101168,Negative,, 4/12/2019 @ 16:38:15,
101222n4,,,,true,,,4,,101222,Negative,, 10/12/2019 @ 21:13:20,
101247n4,,,,,,,4,,101247,Negative,true, 10/12/2019 @ 21:13:56,
101323n4,,true,,,,,4,,101323,Positive,, 5/12/2019 @ 20:35:23,
101489n4,,true,,,,,4,,101489,Negative,true, 10/12/2019 @ 21:17:22,
101596n4,true,,,,true,,4,,101596,Negative,, 9/12/2019 @ 16:43:2,
101676n4,,,,,,,4,,101676,Positive,, 5/12/2019 @ 20:51:28,true
101749n4,true,,,,,,4,,101749,Negative,, 9/12/2019 @ 16:54:18,
101751n4,,,,true,true,,4,,101751,Positive,, 10/12/2019 @ 21:26:53,
101880n4,,,,,,,4,,101880,Positive,, 6/12/2019 @ 16:24:51,true
102005n4,,,,true,,,4,,102005,Negative,, 3/12/2019 @ 14:9:56,
102046n4,true,,,,true,,4,,102046,Positive,, 5/12/2019 @ 20:36:14,
102187n4,,,,,,,4,,102187,Positive,, 9/12/2019 @ 16:54:4,true
102290n1,true,,,true,,,1,,102290,Negative,, 29/11/2019 @ 17:6:45,
102290n2,,,,,,,2,,102290,Negative,true, 27/11/2019 @ 13:56:15,
102290n3,,,,true,,,3,,102290,Negative,true, 30/11/2019 @ 20:8:50,
102290n4,,,,true,,,4,,102290,Negative,true, 1/12/2019 @ 14:16:22,
102290n5,true,,,true,,,5,,102290,Negative,true, 1/12/2019 @ 18:33:7,
102294n4,true,,,true,,,4,,102294,Negative,, 5/12/2019 @ 20:47:21,
102396n4,,,,true,,,4,,102396,Negative,, 9/12/2019 @ 21:6:40,true
102842n4,,,,true,,,4,,102842,Negative,, 5/12/2019 @ 12:24:55,
102858n4,,true,,,,,4,,102858,Positive,, 10/12/2019 @ 21:33:14,true
102939n1,,,,,true,,1,,102939,Positive,, 29/11/2019 @ 17:33:3,
102939n2,,,,,true,,2,,102939,Positive,, 27/11/2019 @ 13:59:29,
102939n3,,,true,true,true,,3,,102939,Positive,, 30/11/2019 @ 20:13:21,
102939n4,,,true,,true,,4,,102939,Positive,, 1/12/2019 @ 14:21:0,
102939n5,,,true,true,true,,5,,102939,Positive,, 1/12/2019 @ 18:43:3,
103086n4,,,,true,,,4,,103086,Negative,, 10/12/2019 @ 21:29:4,
103220n4,,,,true,,,4,,103220,Positive,, 10/12/2019 @ 21:29:12,
103540n4,,,true,true,,,4,,103540,Negative,, 10/12/2019 @ 21:20:29,
103563n4,,,,,,,4,,103563,Positive,, 9/12/2019 @ 16:58:57,true
103582n4,,,,true,,,4,,103582,Negative,, 10/12/2019 @ 21:26:22,
103640n4,,,,true,,,4,,103640,Negative,, 6/12/2019 @ 17:52:11,
103953n4,,true,true,,,,4,,103953,Positive,, 5/12/2019 @ 13:7:19,
103973n4,,,,true,,,4,,103973,Positive,, 10/12/2019 @ 21:28:11,
104021n4,,,,true,,,4,,104021,Positive,, 10/12/2019 @ 21:26:56,
104069n4,,,,,true,,4,,104069,Positive,, 10/12/2019 @ 21:5:24,
104189n4,,,,,true,,4,,104189,Positive,, 9/12/2019 @ 21:17:4,
104279n4,,,,,true,,4,,104279,Positive,, 10/12/2019 @ 21:16:38,
