,id,review,functionality,range_anxiety,availability,cost,ui,location,service_time,dealership
6788,202160,You have to be eating to use charger. Only bad part is spot not marked as EV.,0,0,0,0,0,1,0,0
7930,180258,ICED! ,0,0,1,0,0,0,0,0
2726,136849,Very nice setup and free.  Four level 2 clipper creek chargers and four marked out spaces for them as well.,0,0,0,0,0,1,0,0
4819,146147,The handicapped charging spot is a real head spinner if you think about it. We saw an ICE with a placard parked there and no ticket. We're going to ask town parking authority to reconsider the spot. ,0,0,1,0,0,0,0,0
7626,63932,"Asked the main cast member at the booth if I can park wherever I want regardless of where I was directed.  She said no, that I'd I have to park where they tell me to. 

I went to the floor to which I was directed and bypassed the spot they pointed me to. I looked for an outlet and asked another cast member if I could park on the North wall. He asked if I was looking for a plug and then told me where to find one and said go ahead and plug in!!

Dont stop asking.. some know and some dont. wouldnt have made it home if I wasnt diligent. ",0,1,1,0,0,1,0,0
5004,199199,"Charger worked very well possibly because it is located in an enclose parking garage, upon make immediate right & another immediate right & 10 feet to the right is one level 3 & 2 level 2 charge points both are working.   ",1,0,0,0,0,1,0,0
6451,292570,Leaving #4 in back 5 at 12pm. ,0,0,0,0,1,0,0,0
8016,144091,"Unplugged a white escort? , that finished charging. ",0,0,0,0,1,0,0,1
4658,244738,ground error. called in,1,0,0,0,0,0,0,0
7441,57617,"Eaton charger installed, but would not accept credit card. A fob (Eaton?) was an option, however unit doesn't look to be on-line yet. ",1,0,0,0,0,0,0,0
3981,185250,"Left charger still down. Right has reduced power, could not charge at 6300 watts only able to charge at 5000 watts",1,0,0,0,0,0,1,0
8343,227894,3 Tesla chargers,0,0,1,0,0,0,0,0
723,261929,Used in the morning before work while running errands at Home Depot,0,0,0,0,1,1,0,0
524,60307,"The spot was again occupied by a gas engine vehicle, but I was able to back in on the grass next to the spot and the chord reached my charge point. ",0,0,1,0,0,1,0,0
1745,204371,Great spot to charge/ had dinner at Cheese Cake Factory,0,0,0,0,0,1,0,0
3690,242342,using the 110 outlet next to the soda machine.,0,0,0,0,1,0,1,0
617,273444,5.5kW,0,0,0,0,0,0,1,0
2667,267980,"so I charged for free yesterday and today I show up and it is now rebranded as a greenlots charger and costs $$$. $6 per hour, $5 minimum charge. ",1,0,0,1,0,0,0,0
3828,51829,the white volt is fully charged.  could you please move your car if you are near?  I just need a couple hours. thanks.,0,0,1,0,1,0,0,0
2640,238773,"I don't know why, but the L2 charger took 10 hours to charge my 500e as opposed to the 4 hour charge time I get at a neighboring blink station. I love the setup here and prefer this location to other lots, but I think there might be something wrong with the L2 charger. ",1,0,0,0,0,0,1,0
6575,309051,Here for 1 hr 30 mins.,0,0,0,0,1,0,0,0
6095,234366,"Tried 38 amps, but it quit working after a while. I suggest using 30 amps just to be safe. While charging, take a walk down to the river on the nice bike path that leads down from the end of Fir Rd. in the campground (the roads are in alphabetical order).",1,0,0,0,0,1,1,0
5091,145774,Some nice restaurants within walking distance. Hempstead is one of the most eco friendly towns on Long Island. Take a look at their Solar House just down the road away from town,0,0,0,0,0,1,0,0
1015,43962,Still works. Thanks!,1,0,0,0,0,0,0,0
4978,166350,Seems to work fine for me using blink card. Although it didn't charge me any $$ it still charged my car.,1,0,0,1,0,0,0,0
1987,165169,Great place!  ,0,0,0,0,0,1,0,0
1712,274494,"Wow, seems this Quick Charger is down more then it is up ?
You would think they would have known that putting a high powered (high heat) machine in direct sun would have high temps and fail....good planning  sheesh",1,0,0,0,0,1,0,0
3389,286466,It's supposed to be free but I had to sign up for a plan to activate the charging station. another card to my sun visor which holds all my charging network cards ...,0,0,0,1,0,0,0,0
3042,149539,Both spaces taken at the moment. I should be finished in about an hour and 15.,0,0,1,0,1,0,0,0
8223,66090,Both blink and chargepoint ,1,0,0,0,0,0,0,0
74,162171,"Reported: ""Both port are out of order. Rock wound on display screen. Left cable won't read RFID card. Right cable reads but comes up out of service. Called on 10/22/14 reported damage. Still out as of 10/28""",1,0,0,0,0,0,0,0
1927,139834,The charge screen is off,1,0,0,0,0,0,0,0
5617,234012,Many thanks to the owner for making the charger available to the public. ,0,0,0,0,0,1,0,0
3211,149033,"QC is 20 kW, like most in Colorado.   Still charges a LEAF in under an hour but about half the speed of QCs elsewhere.",1,0,0,0,0,0,1,1
1022,242164,About to unplug this person who left their car plugged into the Quick Charge.,0,0,0,0,1,0,0,0
3923,262255,DC charging fine on CHAdeMO unit closest to transformer... ,1,0,0,0,0,1,0,0
1434,204993,Only SAE Combo is working other 2 are down,1,0,0,0,0,0,0,0
2192,139552,Saw an ICE vehicle pull into the spot when I arrived and I chased the passengers down when they went into Chipotle.  They moved the car and I was able to charge.,0,0,1,0,0,1,0,0
3734,296307,"Don't underestimate the ""very busy"" comments. It's 1700 on Monday and there are 14 Ss charging, waiting or just finished. It's nuts, and its in a very small space.",0,0,1,0,0,0,0,0
4706,172719,Works great 6.0 kw in our 2013 leaf,1,0,0,0,0,0,0,1
1519,213330,"range test, doing a charge ",1,1,0,0,0,0,0,0
5077,238701,Using ChadeMo. Done in 30,1,0,0,0,1,0,0,0
8228,148352,charger broken,1,0,0,0,0,0,0,0
3018,254034,"have to figure out the ICE situation.  it worked, only due to a well timed ICE departure from the stall",0,0,1,0,0,0,0,0
933,266228,"L3 charger still down, but sounds like it could be up again next week. L2 for me :)",1,0,0,0,0,0,0,0
748,296229,could not connect to greenlots server ,1,0,0,0,0,0,0,0
520,301152,Please make sure your car is actively charging when you walk away. Otherwise you extend your 4 hour limit and take away time from others who are waiting.  ,0,0,1,0,1,0,0,0
3584,270624,The single working charger is also in free mode,0,0,1,1,0,0,0,0
639,240608,5$ parking for movie which is perfect time to fully charge! And worth the charge I think. Two of the four on b1m work one insider and a third might. I see two more on level one,1,0,0,0,0,1,0,0
3130,48066,"SDG&E meter is set, but site not yet energized. Maybe soon!",1,0,0,0,0,0,0,0
4042,51179,Quick charger has a long cord and can reach the spot to the right of the charger which avoids having to move the car in front of it. Friendly staff on a Sunday evening.,1,0,0,0,0,1,0,0
4510,190750,"I used this location 2-3 years ago just after it opened, and there was no problem with after hours access.  Perhaps it's gated off now.   I've uploaded a couple pictures from back then.  It's quite remote; the nearest place to eat would be a good mile away.",1,0,0,0,0,1,0,0
2197,227236,Must have charge pass!,0,0,0,0,1,0,0,0
1085,147620,"As I said before, one day we have to get a TV group and a bunch of EV's together at a gas station and park our E'S at the pump to drive the point home",0,0,0,0,1,0,0,0
4774,275557,"Paid $11 to fully charge a completely depleted BMW i3 (19 KWh).  Quite expensive (US$0.49 per KWh, as posted). There are no signs of the supposedly free city of Carmel blink card, so I used my own blink card. The charger worked great and fully charged the car from totally empty to full in 3.5 hours while we were enjoying the beach and dining.",0,0,0,1,0,1,1,1
3536,205828,Working just fine. Thanks Publix!,1,0,0,0,0,0,0,0
7158,180428,Supercharge is still broken. The other type is available. ,1,0,1,0,0,0,0,0
7810,211984,Unplugged since you were done charging. ,0,0,0,0,1,0,0,0
2059,232478,"328 miles per hour. 139 miles to Mitchell, SD.  Lobby is closed around midnight to 6am estimated. Close earlier and open later in the Winter",0,1,0,0,0,1,1,0
7999,219084,3 available chargers & parking spots! :) ,0,0,1,0,0,0,0,0
76,150679,Got juice while getting ice cream. Thanks!,0,0,0,0,0,1,0,0
3575,296841,Nobody else here Tuesday 3:15pm,0,0,1,0,0,0,0,0
2526,190110,Iced,0,0,1,0,0,0,0,0
4709,228179,white BMW i3 sae fast charger,0,0,1,0,0,0,0,0
626,164834,Can anyone confirm if the SAE fast charger is working again? ,1,0,0,0,0,0,0,0
7997,157133,Spark charged great... ,1,0,0,0,0,0,0,0
7841,254019,Both Tesla HPWCs and both J1772s were in use (including me). ,1,0,1,0,0,0,0,1
8108,143279,There are 12 spots with chargers near the bldg entrance,0,0,1,0,0,1,0,0
8104,231863,"left hpwc works great, right does not. Thank you for your generosity! might I suggest removing the non, functioning hpwc, then turning up the power on the good one to 80 amps? would allow charges at 2x the speed allowing people to charge and move their cars quicker.   Cheers!!! I will return for a overnight stay this summer!",1,0,0,0,1,1,1,0
5608,279426,Car set to auto unlock once fully charged,0,0,0,0,1,0,0,0
7789,101168,"Still no charging available. Nice looking units, though.",1,0,0,0,0,0,0,0
7371,43584,This charger is most likely the same as the one located at the Rockwater Apts.,1,0,0,0,0,1,0,0
6412,294741,This charger still doesn't work. ,1,0,0,0,0,0,0,0
206,133557,*Passing through town.....,0,1,0,0,0,0,0,0
387,274012,worked well with ChargePoint card.  2 hook ups available; $2.50 a session.,1,0,0,1,0,0,0,0
3232,83099,"Attendees would not allow overnight charging. Had two Teslas that they would not allow us to charge. Charging stations outdoors were blocked by valet cars, attendees would not allow overnight charging even though we had left a vehicle the night before. ",0,0,1,0,0,1,0,1
5126,158125,QC worked great.,1,0,0,0,0,0,0,0
886,179885,Gate to parking garage was down Saturday night at 6:00pm.,1,0,0,0,0,0,0,0
