,id,review,functionality,range_anxiety,availability,cost,ui,location,service_time,dealership
2733,241654,I rent a unit here and plug in while I unpack my volt! I am paying for he unit mind as well use the outlet! ,0,0,0,0,0,1,0,0
1271,278745,Dcfc confirmed to not work! Your not alone! I have never been able to get the Dcfc to work! I came here and to the one in woodland hills all with calling customer support. I don't know why they are so bad. ,1,0,0,0,0,0,0,0
5810,167644,Left side had a trouble communicating with car message on it. Using the safety disconnect to power cycle cleared it. ,1,0,0,0,0,0,0,0
2560,245887,"wow, a Sunday night and another car is charging as well. ",0,0,1,0,0,0,0,0
7738,96513,"bad experience, wouldn't move ICE vehicles. ",0,0,1,0,0,1,0,0
7812,89786,Model s with 5.8.10 gets about 18mph at30a 227v outside it is 28 degrees,0,0,0,0,0,0,1,0
8850,65979,Homeless people sleeping next to the charging station.  At least they didn't ask for money ,0,0,0,0,0,1,0,0
8148,80387,Didn't have a blink card and didn't accept guest code. ,0,0,0,0,1,0,0,0
8294,77362,One volt and 6 other ice cars took all of the spots.  dumb. ,0,0,1,0,0,0,0,1
6666,147586,Not working. Spend good 30 min trying but nothing. I will not go anymore. ,1,0,0,0,0,0,1,0
5841,167034,"Enter through the ""exit"" and it is immediately  to your right. It is a chargepoint station so you must have an account. ",0,0,0,0,1,1,0,0
5691,170816,J1772 has 30A the 14-50 has 40A,1,0,0,0,0,0,1,0
6713,146796,Charging is now $0.49/kWh with a $1 minimum.,0,0,0,1,0,0,0,0
8808,66962,Dual J1772 Chargepoint charger. Don't forget your RFID card. ,1,0,0,0,0,0,0,0
3427,224692,Not available off hours. ,0,0,0,0,0,1,0,0
5036,186452,Once again non-EV CARS parked on both spots. ,0,0,1,0,0,0,0,0
6801,144681,Added 20 miles in 75 min. Had a nice dinner in casino steakhouse while car was being charged. The extra 20 miles helped us get home to Chicago that night.,0,0,0,0,0,1,1,0
4236,206743,ccs working 46kwh,1,0,0,0,0,0,0,0
2289,253115,"Grey LEAF, WA #AQY4823, this is not long-term parking.  You've been blocking a charging station since yesterday afternoon.  Move it!",0,0,1,0,1,0,0,1
9087,61249,"Started out as the only car, but full with one waiting when we left.",0,0,1,0,0,0,0,0
5311,179901,Only Tesla station available ,0,0,1,0,0,0,0,1
7092,138251,Testing the EL charge network. Also echoing Ben: left DC is still not recognizing fob. ,1,0,0,0,0,0,0,0
3476,223430,None of chargers working. ,1,0,0,0,0,0,0,0
5825,167326,"I wish people would write better directions to find these things. Not everyone uses compass directions!

in rest area, tesla stations alongside 95 south side of main building. for the rest of us plebians, keep going back and look for area at end that is set aside for truckers to park and sleep. The EV plugs line up with the exhaust captures for the big rigs. Our plugs are identified by neon green base covers. 

If you are facing Maryland as you drive through rest area, you are going in correct direction.",0,0,0,0,1,1,0,0
7284,127547,Broken tonight,1,0,0,0,0,0,0,0
3362,226208,"Didn't need to charge, but both sides of the DCQC appear to be operational.",1,0,0,0,0,0,0,0
8064,82289,24 amps - 16 mph,1,0,0,0,0,0,1,0
310,302321,Glad there is a free option here now! Both stations working.,1,0,0,1,0,0,0,0
2825,239381,Screen frozen ,1,0,0,0,0,0,0,0
9715,49401,Needs AV fob.  Thanks red Leaf!,1,0,0,0,0,0,0,1
2623,244377,DCQC,1,0,0,0,0,0,0,0
6508,150866,"This QuickCharger does seem like it's a Level 2.5. :)  It may terminate charging prematurely, in which case you'll have to contact Greenlots to give you a free follow-up session. Also, the highway exits to and from this charger location are confusing with the one way streets and especially now with the construction. Go slow and follow signs, not necessarily your GPS.",1,0,0,0,1,0,0,0
2806,239825,Charged here yesterday.  Worked fine but initially but stopped charging after 1 hour.  I didn't need any more charge so I just disconnected and left.,1,0,0,0,0,0,0,0
7105,137906,White volt parked and not plugged in. Other spot taken. Ughh..,0,0,1,0,0,0,0,1
4389,203376,"nice area. tucked away by the road. Olive garden, red robin, Texas road house and more. ",0,0,0,0,0,1,0,0
336,301301,Saw a white leaf leave just now. Plugged in. Red leaf came and is waiting. Should finish in 25 mins.,0,0,0,0,1,0,0,1
5829,167251,"I have dual chargers, but couldn't get more than 40A? Strange.",1,0,0,0,0,0,0,0
2567,245814,"Successfully charged Spark EV. This lot is only good if you're waiting to pick someone up at the airport, there is nothing to do here except sit in your car and wait!",1,0,0,0,0,0,0,0
5842,167017,BMW dealer - plug on right side of building. ,0,0,0,0,1,1,0,0
7191,136253,"Pulled in with 84 miles left in the battery. Seeing fast charging rate of over 340 mi/hr, pulling 374v and as much as 290A. Incredibly, no spots ICE'ed on a Saturday morning (though I'm betting that won't last). ;-) I'm also surprised that they'd place them this close to any of the buildings of the mall, which would tend to provoke ICE'ing. ",1,1,1,0,0,1,1,0
3625,220560,Charger still had fault.,1,0,0,0,0,0,0,0
4400,203067,They said they are still waiting for parts.,1,0,0,0,0,0,0,0
4427,202486,Charger is not functional.  No power indication.,1,0,0,0,0,0,0,0
10004,43207,"Charged successfully on Sept. 27, 2013.  Received 100 miles in about 5 hrs.",1,0,0,0,0,0,1,0
696,291884,All full ,0,0,1,0,0,0,0,0
5558,173704,Would not charge. Said there is a problem. ,1,0,0,0,0,0,0,0
3345,226791,"BJ, Prius and Volt don't NEED to charge to reach their destination due to their gas engine. Ford should make their vehicles capable  of DC fast charging but chose not to for some reason. This DC quick charger is designed for pure BEVs like Tesla and Leaf to enable travel around the State.  When I need a charge and a plug-in hybrid is occupying a public charger it is frustrating. ",0,0,1,0,0,0,0,0
196,304719,"Pulsing green light on Egolf does not mean you can unplug me! Even if it appears to be solid green, cup hands around light and you will see it is pulsing! Unplugging someone is pretty serious, so triple check before you do so! Other than that 134miles on tap for Goleta!",0,0,0,0,1,0,1,0
6506,150883,works very well but place difficult to find. Go park street to the end then turn right and continue straight ahead. it's a parking next to the woods.,0,0,0,0,1,1,0,0
2729,241720,267 miles per hour,0,0,0,0,0,0,1,0
6155,159366,"Four chargers, and all in use!  Tesla, Volt, Prius and BMW!",0,0,1,0,0,0,0,1
10196,17115,Since ohare is devoid of functional chargers this is pretty good. Not a DC fast but 240v for sure.,0,0,0,0,0,0,1,0
1802,265931,Charged fine,1,0,0,0,0,0,0,0
9978,43962,Still works. Thanks!,1,0,0,0,0,0,0,0
5900,165450,"great to use.
on our way back to Nova Scotia",0,1,0,0,0,0,0,0
305,302472,"It's in the main underground parking area, closer to the south end, by the bicycles. ",0,0,0,0,0,1,0,0
3974,213031,Rates where too high compared to how slow the charging was.,0,0,0,1,0,0,1,0
3912,214188,"Iced! Parked in a non-charging spot with the cord over someone's bumper, because I need the electrons to get home. Gas holes! _x1f621_",0,0,1,0,0,0,0,0
262,303374,ICE'd by 18 wheeler. Need EV parking signs,0,0,1,0,0,1,0,0
5769,168731,Parking is $8 flat rate today. ,0,0,0,1,0,0,0,0
5053,186150,"I was turned away from charging here due to the fact that I did not purchase my leaf here. ... after I called ahead to verify that i could charge.   I ended up charging on the regular charger for 2 hours, in the cold after hours.   I offered to buy one of their""green cards"", but they refused, and actually the staff was rude.   My dealership (Ken Garff) will charge to anyone, for FREE!  Just wanted to put this out there.   I live in Morgan and needed to charge to make the trip to SLC.  If you find yourself wanting to take your leaf for a drive in the mountains, feel free to stop and charge at my place! ",0,0,0,0,0,1,1,1
9736,49114,"Located by auto center. Only 1 of 3 touch screens worked, $1/hr member price. No one parked at any when I arrived. ",1,0,1,1,0,1,0,0
5343,179208,You don't need to use the card reader. It's free. Just follow the directions on the touch screen display. ,0,0,0,1,1,0,0,0
9118,60844,Cord not long enough and you can't back in to make it work for a tesla,1,0,0,0,0,0,0,1
7287,127286,I found all 4 charging spots were open. The parking spots are now properly marked for electric vehicle use only.,0,0,1,0,0,1,0,0
1265,278876,Ports 3A and 3B are slow charge.  Have told them about it and it is still not right.  Do not use unless you have a few hours to waste. ,0,0,0,0,0,0,1,0
4493,201122,Charging on the L2 in order to make it home to Amherst. This QC is very conveniently located for travel between western ma and eastern ma. I hope they can get it repaired soon. ,1,1,0,0,0,1,0,0
9701,49670,One of two chargers is broken. Gas powered Hyundai is parked in one of two spaces serving single working charger. ,1,0,1,0,0,0,0,1
4025,211908,The charger farthest from Welcome Center not working.,1,0,0,0,0,0,0,0
8032,83132,"Successfully charged my Tesla MS at 40 ams at pedestal no. 31, which is one of the few with a nema 14-50 outlet. receptionist was very nice and let us charge for free.",1,0,0,1,0,1,1,1
5897,165520,They replaced the j1772 cords. I was able to charge for the 21st time in 2 years. yeah.,1,0,0,0,0,0,0,0
2595,244941,was at 5%. love this charger's location. so convenient right off 75.,0,1,0,0,0,1,0,0
2606,244595,"Short walk to mall. Starbucks , whole foods. Also can browse museum and ice rink.",0,0,0,0,0,1,0,0
4431,202351,"Station is incredibly easy to find and is just two stations in a parking lot, open to any Tesla drivers. Yay!!",0,0,1,0,0,1,0,0
338,301286,A lot of chargers here!,0,0,1,0,0,0,0,0
5316,179808,Thanks again! Had some errands nearby and needed 10 minutes of quick charge to get home. ,0,0,0,0,0,1,0,0
9181,59595,Kind of a scary location in the evening. But lots of foot traffic around 6pm for Solar City employees,0,0,0,0,0,1,0,0
2581,245477,A volt is occupying the other plug,0,0,1,0,0,0,0,0
4858,190791,"McCharging for free, yum.  both spots empty.  coiled cord on the PEP station is tidy, but stiff due to the cold weather.  had to pull on the cord a bit to reach the car.",0,0,1,1,0,1,0,0
2617,244391,working great!,1,0,0,0,0,0,0,0
1601,271116,I'm not sure how well this is going to work. Parking is very tight here and cars are double parked everywhere. Including in front of the charging station.  ,0,0,1,0,0,0,0,0
8445,74401,You might have to get here early to charge. I used the last space and got here at 9:30. An unplugged Leaf was sitting next to me when I returned. The chargers ARE slow. I was just full from empty after 4 hours.,1,0,1,0,0,1,1,1
7637,104069,just around here at the mall.,0,0,0,0,0,1,0,0
3874,214942,North most charger is out of order ,1,0,0,0,0,0,0,0
4894,190035,One spot taken by a plug in Fusion hybrid. The other spot was ICE'D by a Volt that wasn't even plugged in. ,0,0,1,0,0,0,0,1
3299,227980,Right side cannot establish communication. Left side won't start either.,1,0,0,0,0,0,0,0
